2024 Clinical Diagnostic Laboratory Fee Schedule ,,,,,,,,
"CPT codes, descriptions and other data only are copyright 2024 American Medical Association. All rights reserved. CPT is a registered trademark of the American Medical Association.",,,,,,,,
"The Department of Health and Human Services is planning for the federal Public Health Emergency for COVID-19 (PHE), declared under Section 319 of the Public Health Service Act, to expire at the end of the day on May 11, 2023.  Because of the termination of the PHE, HCPCS codes G2023, G2024, U0003, U0004, and U0005 will no longer be payable for dates of service on or after May 12, 2023, and the HCPCS codes will be terminated.",,,,,,,,
,,,,,,,,
YEAR,HCPCS,MOD,EFF_DATE,INDICATOR,RATE,SHORTDESC,LONGDESC,EXTENDED LONGDESC
2024,0009U,,20240101,N,00107.00,Onc brst ca erbb2 amp/nonamp,Gene analysis of breast tumor tissue,"Oncology (breast cancer), erbb2 (her2) copy number by fish, tumor cells from formalin fixed paraffin embedded tissue isolated using image-based dielectrophoresis (dep) sorting, reported as erbb2 gene amplified or non-amplified"
2024,0010U,,20240101,N,00427.26,Nfct ds strn typ whl gen seq,Typing of bacterial strain,"Infectious disease (bacterial), strain typing by whole genome sequencing, phylogenetic-based report of strain relatedness, per submitted isolate"
2024,0011M,,20240101,N,00760.00,Onc prst8 ca mrna 12 gen alg,Molecular pathology test for genetic analysis of prostate tumor (NeoLAB,"Oncology, prostate cancer, mrna expression assay of 12 genes (10 content and 2 housekeeping), rt-pcr test utilizing blood plasma and urine, algorithms to predict high-grade prostate cancer risk"
2024,0011U,,20240101,N,00114.43,Rx mntr lc-ms/ms oral fluid,Prescription drug monitoring in oral fluid,"Prescription drug monitoring, evaluation of drugs present by lc-ms/ms, using oral fluid, reported as a comparison to an estimated steady-state range, per date of service including all drug compounds and metabolites"
2024,0012M,,20240101,N,00760.00,Onc mrna 5 gen rsk urthl ca,Molecular pathology test for genetic analysis of bladder tumor (Cxbladder,"Oncology (urothelial), mrna, gene expression profiling by real-time quantitative pcr of five genes (mdk, hoxa13, cdc2 [cdk1], igfbp5, and cxcr2), utilizing urine, algorithm reported as a risk score for having urothelial carcinoma"
2024,0013M,,20240101,N,00760.00,Onc mrna 5 gen recr urthl ca,Molecular pathology test for genetic analysis of recurrent bladder tumor,"Oncology (urothelial), mrna, gene expression profiling by real-time quantitative pcr of five genes (mdk, hoxa13, cdc2 [cdk1], igfbp5, and cxcr2), utilizing urine, algorithm reported as a risk score for having recurrent urothelial carcinoma"
2024,0015M,,20240101,N,01305.37,Adrnl cortcl tum bchm asy 25,Molecular pathology test for genetic analysis of kidney gland tumor (Adrenal,"Adrenal cortical tumor, biochemical assay of 25 steroid markers, utilizing 24-hour urine specimen and clinical parameters, prognostic algorithm reported as a clinical risk and integrated clinical steroid risk for adrenal cortical carcinoma, adenoma, or other adrenal malignancy"
2024,0016M,,20240101,N,03489.63,Onc bladder mrna 219 gen alg,Molecular pathology test for genetic analysis of bladder tumor (Decipher,"Oncology (bladder), mrna, microarray gene expression profiling of 219 genes, utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as molecular subtype (luminal, luminal infiltrated, basal, basal claudin-low, neuroendocrine-like)"
2024,0016U,,20240101,N,00163.96,Onc hmtlmf neo rna bcr/abl1,RNA test for detecting gene abnormality associated with blood and lymphatic,"Oncology (hematolymphoid neoplasia), rna, bcr/abl1 major and minor breakpoint fusion transcripts, quantitative pcr amplification, blood or bone marrow, report of fusion not detected or detected with quantitation"
2024,0017M,,20240101,N,02510.21,Onc dlbcl mrna 20 genes alg,mRNA gene expression profiling by fluorescent probe hybridization of 20 genes,"Oncology (diffuse large b-cell lymphoma [dlbcl]), mrna, gene expression profiling by fluorescent probe hybridization of 20 genes, formalin-fixed paraffin-embedded tissue, algorithm reported as cell of origin"
2024,0017U,,20240101,N,00091.66,Onc hmtlmf neo jak2 mut dna,JAK2 mutation test for detecting gene abnormality associated with blood and,"Oncology (hematolymphoid neoplasia), jak2 mutation, dna, pcr amplification of exons 12-14 and sequence analysis, blood or bone marrow, report of jak2 mutation not detected or detected"
2024,0018M,,20240101,N,00640.73,Trnsplj rnl meas cd154+cll,Measurement of kidney donor and third-party-induced CD154+T-cytotoxic memory,"Transplantation medicine (allograft rejection, renal), measurement of donor and third-party-induced cd154+t-cytotoxic memory cells, utilizing whole peripheral blood, algorithm reported as a rejection risk score"
2024,0018U,,20240101,N,03002.09,Onc thyr 10 microrna seq alg,MicroRNA gene analysis of thyroid nodule tissue,"Oncology (thyroid), microrna profiling by rt-pcr of 10 microrna sequences, utilizing fine needle aspirate, algorithm reported as a positive or negative result for moderate to high risk of malignancy"
2024,0019M,,20240101,L,00000.00,Cv ds plasma alys prtn bmrk,Analysis of protein biomarkers in plasma with results reported as likelihood,"Cardiovascular disease, plasma, analysis of protein biomarkers by aptamer-based microarray and algorithm reported as 4-year likelihood of coronary event in high-risk populations"
2024,0019U,,20240101,N,03675.00,Onc rna tiss predict alg,RNA gene analysis of tumor tissue,"Oncology, rna, gene expression by whole transcriptome sequencing, formalin-fixed paraffin embedded tissue or fresh frozen tissue, predictive algorithm reported as potential targets for therapeutic agents"
2024,0020M,,20241001,L,00000.00,Onc cns alys 30000 dna loci,"Oncology (central nervous system), analysis of 30000 dna methylation loci by","Oncology (central nervous system), analysis of 30000 dna methylation loci by methylation array, utilizing dna extracted from tumor tissue, diagnostic algorithm reported as probability of matching a reference tumor subclass"
2024,0021U,,20240101,N,00760.00,Onc prst8 detcj 8 autoantb,Detection of 8 autoantibodies in prostate tissue,"Oncology (prostate), detection of 8 autoantibodies (arf 6, nkx3-1, 5'-utr-bmi1, cep 164, 3'-utr-ropporin, desmocollin, aurkaip-1, csnk2a2), multiplexed immunoassay and flow cytometry serum, algorithm reported as risk score"
2024,0022U,,20240101,N,01950.00,Tgsap nsm lung neo dna&rna23,DNA and RNA targeted sequencing analysis of 1-23 genes associated with,"Targeted genomic sequence analysis panel, non-small cell lung neoplasia, dna and rna analysis, 23 genes, interrogation for sequence variants and rearrangements, reported as presence or absence of variants and associated therapy(ies) to consider"
2024,0023U,,20240101,N,00248.51,Onc aml dna detcj/nondetcj,DNA gene analysis for acute myelogenous leukemia,"Oncology (acute myelogenous leukemia), dna, genotyping of internal tandem duplication, p.d835, p.i836, using mononuclear cells, reported as detection or non-detection of flt3 mutation and indication for or against the use of midostaurin"
2024,0024U,,20240101,N,00034.19,Glyca nuc mr spectrsc quan,Measurement of glycosylated acute phase proteins,"Glycosylated acute phase proteins (glyca), nuclear magnetic resonance spectroscopy, quantitative"
2024,0025U,,20240101,N,00114.43,Tenofovir liq chrom ur quan,Measurement of tenovir in urine,"Tenofovir, by liquid chromatography with tandem mass spectrometry (lc-ms/ms), urine, quantitative"
2024,0026U,,20240101,N,03600.00,Onc thyr dna&mrna 112 genes,DNA and microRNA gene analysis of thyroid nodule tissue,"Oncology (thyroid), dna and mrna of 112 genes, next-generation sequencing, fine needle aspirate of thyroid nodule, algorithmic analysis reported as a categorical result (""positive, high probability of malignancy"" or ""negative, low probability of malignancy"")"
2024,0027U,,20240101,N,00121.91,Jak2 gene trgt seq alys,Gene analysis (Janus kinase 2) of targeted sequence exons 12-15,"Jak2 (janus kinase 2) (eg, myeloproliferative disorder) gene analysis, targeted sequence analysis exons 12-15"
2024,0029U,,20240101,N,00742.27,Rx metab advrs trgt seq alys,Gene analysis of targeted sequences for adverse drug reactions and drug response,"Drug metabolism (adverse drug reactions and drug response), targeted sequence analysis (ie, cyp1a2, cyp2c19, cyp2c9, cyp2d6, cyp3a4, cyp3a5, cyp4f2, slco1b1, vkorc1 and rs12777823)"
2024,0030U,,20240101,N,00134.13,Rx metab warf trgt seq alys,Gene analysis of targeted sequences for warfarin drug response,"Drug metabolism (warfarin drug response), targeted sequence analysis (ie, cyp2c9, cyp4f2, vkorc1, rs12777823)"
2024,0031U,,20240101,N,00174.81,Cyp1a2 gene,"Gene analysis (cytochrome P450 family 1, subfamily A, member 2) for common","Cyp1a2 (cytochrome p450 family 1, subfamily a, member 2) (eg, drug metabolism) gene analysis, common variants (ie, *1f, *1k, *6, *7)"
2024,0032U,,20240101,N,00174.81,Comt gene,Gene analysis (catechol-O-methyltransferase) for c.472G>A (rs4680) variant,"Comt (catechol-o-methyltransferase) (drug metabolism) gene analysis, c.472g>a (rs4680) variant"
2024,0033U,,20240101,N,00349.62,Htr2a htr2c genes,Gene analysis (5-hydroxytryptamine receptor 2A) for common variants,"Htr2a (5-hydroxytryptamine receptor 2a), htr2c (5-hydroxytryptamine receptor 2c) (eg, citalopram metabolism) gene analysis, common variants (ie, htr2a rs7997012 [c.614-2211t>c], htr2c rs3813929 [c.-759c>t] and rs1414334 [c.551-3008c>g])"
2024,0034U,,20240101,N,00466.17,Tpmt nudt15 genes,Gene analysis (thiopurine S-methyltransferase) for common variants,"Tpmt (thiopurine s-methyltransferase), nudt15 (nudix hydroxylase 15)(eg, thiopurine metabolism), gene analysis, common variants (ie, tpmt *2, *3a, *3b, *3c, *4, *5, *6, *8, *12; nudt15 *3, *4, *5)"
2024,0035U,,20240101,N,00540.99,Neuro csf prion prtn qual,Testing for presence of prion protein in cerebrospinal fluid,"Neurology (prion disease), cerebrospinal fluid, detection of prion protein by quaking-induced conformational conversion, qualitative"
2024,0036U,,20240101,N,04780.00,Xome tum & nml spec seq alys,Exome gene analysis for somatic mutation in tumor tissue,"Exome (ie, somatic mutations), paired formalin-fixed paraffin-embedded tumor tissue and normal specimen, sequence analyses"
2024,0037U,,20240101,N,03500.00,Trgt gen seq dna 324 genes,DNA gene analysis of 324 genes in solid organ tumor tissue,"Targeted genomic sequence analysis, solid organ neoplasm, dna analysis of 324 genes, interrogation for sequence variants, gene copy number amplifications, gene rearrangements, microsatellite instability and tumor mutational burden"
2024,0038U,,20240101,N,00029.60,Vitamin d srm microsamp quan,Measurement of vitamin D in serum,"Vitamin d, 25 hydroxy d2 and d3, by lc-ms/ms, serum microsample, quantitative"
2024,0039U,,20240101,N,00013.74,Dna antb 2strand hi avidity,Testing for anti-DNA antibody,"Deoxyribonucleic acid (dna) antibody, double stranded, high avidity"
2024,0040U,,20240101,N,00409.90,Bcr/abl1 gene major bp quan,Gene analysis (t(9;22)) for translocation analysis,"Bcr/abl1 (t(9;22)) (eg, chronic myelogenous leukemia) translocation analysis, major breakpoint, quantitative"
2024,0041U,,20240101,N,00017.21,B brgdrferi antb 5 prtn igm,IgM antibody detection test for Borrelia burgdorferi,"Borrelia burgdorferi, antibody detection of 5 recombinant protein groups, by immunoblot, igm"
2024,0042U,,20240101,N,00017.21,B brgdrferi antb 12 prtn igg,IgG antibody detection test for Borrelia burgdorferi,"Borrelia burgdorferi, antibody detection of 12 recombinant protein groups, by immunoblot, igg"
2024,0043U,,20240101,N,00014.86,Tbrf b grp antb 4 prtn igm,IgM antibody detection test for Tick-Borne Relapsing Fever Borrelia group (IgM),"Tick-borne relapsing fever borrelia group, antibody detection to 4 recombinant protein groups, by immunoblot, igm"
2024,0044U,,20240101,N,00014.86,Tbrf b grp antb 4 prtn igg,IgM antibody detection test for Tick-Borne Relapsing Fever Borrelia group (IgG),"Tick-borne relapsing fever borrelia group, antibody detection to 4 recombinant protein groups, by immunoblot, igg"
2024,0045U,,20240101,N,03873.00,Onc brst dux carc is 12 gene,mRNA gene analysis of 12 genes in breast ductal carcinoma in situ tumor tissue,"Oncology (breast ductal carcinoma in situ), mrna, gene expression profiling by real-time rt-pcr of 12 genes (7 content and 5 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as recurrence score"
2024,0046U,,20240101,N,00407.43,Flt3 gene itd variants quan,Gene analysis (fms-related tyrosine kinase 3) for internal tandem duplication,"Flt3 (fms-related tyrosine kinase 3) (eg, acute myeloid leukemia) internal tandem duplication (itd) variants, quantitative"
2024,0047U,,20240101,N,03873.00,Onc prst8 mrna 17 gene alg,mRNA gene analysis of 17 genes in prostate tumor tissue,"Oncology (prostate), mrna, gene expression profiling by real-time rt-pcr of 17 genes (12 content and 5 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a risk score"
2024,0048U,,20240101,N,02919.60,Onc sld org neo dna 468 gene,DNA gene analysis of 468 genes in solid organ tumor tissue,"Oncology (solid organ neoplasia), dna, targeted sequencing of protein-coding exons of 468 cancer-associated genes, including interrogation for somatic mutations and microsatellite instability, matched with normal specimens, utilizing formalin-fixed paraffin-embedded tumor tissue, report of clinically significant mutation(s)"
2024,0049U,,20240101,N,00407.43,Npm1 gene analysis quan,Gene analysis (nucleophosmin),"Npm1 (nucleophosmin) (eg, acute myeloid leukemia) gene analysis, quantitative"
2024,0050U,,20240101,N,02916.60,Trgt gen seq dna 194 genes,DNA gene analysis of targeted sequences in 194 genes for acute myelogenous,"Targeted genomic sequence analysis panel, acute myelogenous leukemia, dna analysis, 194 genes, interrogation for sequence variants, copy number variants or rearrangements"
2024,0051U,,20240101,N,00246.92,Rx mntr lc-ms/ms ur/bld 31,Testing for presence of 31 prescription drugs in urine or blood specimen,"Prescription drug monitoring, evaluation of drugs present by liquid chromatography tandem mass spectrometry (lc-ms/ms), urine or blood, 31 drug panel, reported as quantitative results, detected or not detected, per date of service"
2024,0052U,,20240101,N,00033.86,Lpoprtn bld w/5 maj classes,Measurement of all five major lipoprotein classes and subclasses in blood,"Lipoprotein, blood, high resolution fractionation and quantitation of lipoproteins, including all five major lipoprotein classes and subclasses of hdl, ldl, and vldl by vertical auto profile ultracentrifugation"
2024,0054U,,20240101,N,00198.74,Rx mntr 14+ drugs & sbsts,Measurement of 14 or more drug classes in capillary blood,"Prescription drug monitoring, 14 or more classes of drugs and substances, definitive tandem mass spectrometry with chromatography, capillary blood, quantitative report with therapeutic and toxic ranges, including steady-state range for the prescribed dose when detected, per date of service"
2024,0055U,,20240101,N,03240.00,Card hrt trnspl 96 dna seq,DNA gene analysis of 96 target sequences in plasma for heart transplant,"Cardiology (heart transplant), cell-free dna, pcr assay of 96 dna target sequences (94 single nucleotide polymorphism targets and two control targets), plasma"
2024,0058U,,20240101,N,00322.96,Onc merkel cll carc srm quan,Measurement of antibodies to Merkel cell polyoma virus oncoprotein in serum,"Oncology (merkel cell carcinoma), detection of antibodies to the merkel cell polyoma virus oncoprotein (small t antigen), serum, quantitative"
2024,0059U,,20240101,N,00322.96,Onc merkel cll carc srm +/-,Test for presence of antibodies to Merkel cell polyoma virus oncoprotein in,"Oncology (merkel cell carcinoma), detection of antibodies to the merkel cell polyoma virus capsid protein (vp1), serum, reported as positive or negative"
2024,0060U,,20240101,N,00759.05,Twn zyg gen seq alys chrms2,Gene analysis for identical twins in maternal blood,"Twin zygosity, genomic-targeted sequence analysis of chromosome 2, using circulating cell-free fetal dna in maternal blood"
2024,0061U,,20240101,N,00025.10,Tc meas 5 bmrk sfdi m-s alys,Spatial frequency domain imaging of skin,"Transcutaneous measurement of five biomarkers (tissue oxygenation [sto2], oxyhemoglobin [cthbo2], deoxyhemoglobin [cthbr], papillary and reticular dermal hemoglobin concentrations [cthb1 and cthb2]), using spatial frequency domain imaging (sfdi) and multi-spectral analysis"
2024,0062U,,20240101,N,00380.72,Ai sle igg&igm alys 80 bmrk,IgG and IgM analysis of 80 biomarkers of systemic lupus erythematosus in serum,"Autoimmune (systemic lupus erythematosus), igg and igm analysis of 80 biomarkers, utilizing serum, algorithm reported with a risk score"
2024,0063U,,20240101,N,00750.00,Neuro autism 32 amines alg,Testing for amines associated with autism spectrum disorder in plasma,"Neurology (autism), 32 amines by lc-ms/ms, using plasma, algorithm reported as metabolic signature associated with autism spectrum disorder"
2024,0064U,,20240101,N,00031.33,Antb tp total&rpr ia qual,Antibody testing for syphilis,"Antibody, treponema pallidum, total and rapid plasma reagin (rpr), immunoassay, qualitative"
2024,0065U,,20240101,N,00018.09,Syfls tst nontreponemal antb,Non-antibody testing for syphilis,"Syphilis test, non-treponemal antibody, immunoassay, qualitative (rpr)"
2024,0066U,,20240101,N,00015.29,Pamg-1 ia cervico-vag fluid,Measurement of placental alpha-micro globulin-1 (PAMG-1) in cervical/vaginal,"Placental alpha-micro globulin-1 (pamg-1), immunoassay with direct optical observation, cervico-vaginal fluid, each specimen"
2024,0067U,,20240101,N,01897.00,Onc brst imhchem prfl 4 bmrk,Protein expression profiling of 4 biomarkers of breast cancer in precancerous,"Oncology (breast), immunohistochemistry, protein expression profiling of 4 biomarkers (matrix metalloproteinase-1 [mmp-1], carcinoembryonic antigen-related cell adhesion molecule 6 [ceacam6], hyaluronoglucosaminidase [hyal1], highly expressed in cancer protein [hec1]), formalin-fixed paraffin-embedded precancerous breast tissue, algorithm reported as carcinoma risk score"
2024,0068U,,20240101,N,00142.63,Candida species pnl amp prb,Detection of Candida species by amplified probe,"Candida species panel (c. albicans, c. glabrata, c. parapsilosis, c. kruseii, c tropicalis, and c. auris), amplified probe technique with qualitative report of the presence or absence of each species"
2024,0069U,,20240101,N,00380.00,Onc clrct microrna mir-31-3p,mRNA expression profiling of miR-31-3 in colon tumor tissue,"Oncology (colorectal), microrna, rt-pcr expression profiling of mir-31-3p, formalin-fixed paraffin-embedded tissue, algorithm reported as an expression sco"
2024,0070U,,20240101,N,00676.37,Cyp2d6 gen com&slct rar vrnt,"Gene analysis (cytochrome P450, family 2, subfamily D, polypeptide 6) for","Cyp2d6 (cytochrome p450, family 2, subfamily d, polypeptide 6) (eg, drug metabolism) gene analysis, common and select rare variants (ie, *2, *3, *4, *4n, *5, *6, *7, *8, *9, *10, *11, *12, *13, *14a, *14b, *15, *17, *29, *35, *36, *41, *57, *61, *63, *68, *83, *xn)"
2024,0071U,,20240101,N,00600.00,Cyp2d6 full gene sequence,"Gene analysis (cytochrome P450, family 2, subfamily D, polypeptide 6) full","Cyp2d6 (cytochrome p450, family 2, subfamily d, polypeptide 6) (eg, drug metabolism) gene analysis, full gene sequence (list separately in addition to code for primary procedure)"
2024,0072U,,20240101,N,00450.91,Cyp2d6 gen cyp2d6-2d7 hybrid,"Gene analysis (cytochrome P450, family 2, subfamily D, polypeptide 6) targeted","Cyp2d6 (cytochrome p450, family 2, subfamily d, polypeptide 6) (eg, drug metabolism) gene analysis, targeted sequence analysis (ie, cyp2d6-2d7 hybrid gene) (list separately in addition to code for primary procedure)"
2024,0073U,,20240101,N,00450.91,Cyp2d6 gen cyp2d7-2d6 hybrid,"Gene analysis (cytochrome P450, family 2, subfamily D, polypeptide 6) targeted","Cyp2d6 (cytochrome p450, family 2, subfamily d, polypeptide 6) (eg, drug metabolism) gene analysis, targeted sequence analysis (ie, cyp2d7-2d6 hybrid gene) (list separately in addition to code for primary procedure)"
2024,0074U,,20240101,N,00450.91,Cyp2d6 nonduplicated gene,"Gene analysis (cytochrome P450, family 2, subfamily D, polypeptide 6) targeted","Cyp2d6 (cytochrome p450, family 2, subfamily d, polypeptide 6) (eg, drug metabolism) gene analysis, targeted sequence analysis (ie, non-duplicated gene when duplication/multiplication is trans) (list separately in addition to code for primary procedure)"
2024,0075U,,20240101,N,00450.91,Cyp2d6 5' gene dup/mlt,"Gene analysis (cytochrome P450, family 2, subfamily D, polypeptide 6) targeted","Cyp2d6 (cytochrome p450, family 2, subfamily d, polypeptide 6) (eg, drug metabolism) gene analysis, targeted sequence analysis (ie, 5' gene duplication/multiplication) (list separately in addition to code for primary procedure)"
2024,0076U,,20240101,N,00450.91,Cyp2d6 3' gene dup/mlt,"Gene analysis (cytochrome P450, family 2, subfamily D, polypeptide 6) targeted","Cyp2d6 (cytochrome p450, family 2, subfamily d, polypeptide 6) (eg, drug metabolism) gene analysis, targeted sequence analysis (ie, 3' gene duplication/ multiplication) (list separately in addition to code for primary procedure)"
2024,0077U,,20240101,N,00043.43,Ig paraprotein qual bld/ur,Detection of Immunoglobulin paraprotein (M-protein) in blood or urine,"Immunoglobulin paraprotein (m-protein), qualitative, immunoprecipitation and mass spectrometry, blood or urine, including isotype"
2024,0078U,,20240101,N,00450.91,Pain mgt opi use gnotyp pnl,Gene analysis of 16 genes to evaluate risk of opioid-use disorder,"Pain management (opioid-use disorder) genotyping panel, 16 common variants (ie, abcb1, comt, dat1, dbh, dor, drd1, drd2, drd4, gaba, gal, htr2a, httlpr, mthfr, muor, oprk1, oprm1), buccal swab or other germline tissue sample, algorithm reported as positive or negative risk of opioid-use disorder"
2024,0080U,,20240101,N,03520.00,Onc lng 5 clin rsk factr alg,Analysis of galectin-3-binding protein and scavenger receptor cysteine-rich,"Oncology (lung), mass spectrometric analysis of galectin-3-binding protein and scavenger receptor cysteine-rich type 1 protein m130, with five clinical risk factors (age, smoking status, nodule diameter, nodule-spiculation status and nodule location), utilizing plasma, algorithm reported as a categorical probability of malignancy"
2024,0082U,,20240101,N,00246.92,Rx test def 90+ rx/sbsts ur,Definitive drug testing for 90 or more drugs in urine,"Drug test(s), definitive, 90 or more drugs or substances, definitive chromatography with mass spectrometry, and presumptive, any number of drug classes, by instrument chemistry analyzer (utilizing immunoassay), urine, report of presence or absence of each drug, drug metabolite or substance with description and severity of significant interactions per date of service"
2024,0083U,,20240101,N,00167.35,Onc rspse chemo cntrst tomog,Evaluation of response to chemotherapy drugs using motility contrast tomography,"Oncology, response to chemotherapy drugs using motility contrast tomography, fresh or frozen tissue, reported as likelihood of sensitivity or resistance to drugs or drug combinations"
2024,0084U,,20240101,N,00720.00,Rbc dna gnotyp 10 bld groups,DNA red blood cell antigen typing,"Red blood cell antigen typing, dna, genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens"
2024,0086U,,20240101,N,00200.00,Nfct ds bact&fng org id 6+,FISH identification of organisms in blood culture,"Infectious disease (bacterial and fungal), organism identification, blood culture, using rrna fish, 6 or more organism targets, reported as positive or negative with phenotypic minimum inhibitory concentration (mic)-based antimicrobial susceptibility"
2024,0087U,,20240101,N,03159.42,Crd hrt trnspl mrna 1283 gen,mRNA gene expression profiling of genes in heart transplant biopsy tissue to,"Cardiology (heart transplant), mrna gene expression profiling by microarray of 1283 genes, transplant biopsy tissue, allograft rejection and injury algorithm reported as a probability score"
2024,0088U,,20240101,N,03159.42,Trnsplj kdn algrft rej 1494,mRNA gene expression profiling of genes in kidney transplant tissue to evaluate,"Transplantation medicine (kidney allograft rejection), microarray gene expression profiling of 1494 genes, utilizing transplant biopsy tissue, algorithm reported as a probability score for rejection"
2024,0089U,,20240101,N,00760.00,Onc mlnma prame & linc00518,Gene expression profiling of melanoma in superficial sample collected by,"Oncology (melanoma), gene expression profiling by rtqpcr, prame and   linc00518, superficial collection using adhesive patch(es)"
2024,0090U,,20240101,N,01950.00,Onc cutan mlnma mrna 23 gene,mRNA gene expression profiling of 23 genes in skin melanoma tissue sample,"Oncology (cutaneous melanoma), mrna gene expression profiling by rt-pcr of 23 genes (14 content and 9 housekeeping), utilizing formalin-fixed paraffin-embedded (ffpe) tissue, algorithm reported as a categorical result (ie, benign, intermediate, malignant)"
2024,0092U,,20240101,N,02488.00,Onc lng 3 prtn bmrk plsm alg,Measurement of 3 protein biomarkers for lung cancer in plasma,"Oncology (lung), three protein biomarkers, immunoassay using magnetic nanosensor technology, plasma, algorithm reported as risk score for likelihood of malignancy"
2024,0093U,,20240101,N,00062.14,Rx mntr 65 com drugs urine,Prescription drug monitoring for 65 common drugs in urine,"Prescription drug monitoring, evaluation of 65 common drugs by lc-ms/ms, urine, each drug reported detected or not detected"
2024,0094U,,20240101,N,07582.20,Genome rapid sequence alys,Rapid sequence gene testing,"Genome (eg, unexplained constitutional or heritable disorder or syndrome), rapid sequence analysis"
2024,0095U,,20240101,N,00771.98,Ee&mj bsc prtn elisa est dev,Test for markers of eosinophilic inflammation of esophagus,"Eosinophilic esophagitis, eotaxin-3 [ccl26 {c-c motif chemokine ligand 26}] and major basic protein [prg2 {proteoglycan 2, pro eosinophil major basic protein}], enzyme-linked immunosorbent assays (elisa), specimen obtained by esophageal string test device, algorithm reported as probability of active or inactive eosinophilic esophagitis"
